order_id,timestamp,store_id,product,quantity,price,region
2001,2025-04-01 10:01:15,101,Laptop,2,850.50,North
2002,2025-04-01 10:02:20,102,Smartphone,1,650.75,South
2003,2025-04-01 10:03:05,103,Tablet,3,320.40,East
2004,2025-04-01 10:04:10,104,Headphones,4,120.99,West
2005,2025-04-01 10:05:25,105,Camera,1,540.00,North
2006,2025-04-01 10:06:40,106,Monitor,2,280.15,East
2007,2025-04-01 10:07:55,107,Printer,1,190.00,South
2008,2025-04-01 10:08:30,108,Gaming Console,2,499.99,West
2009,2025-04-01 10:09:45,109,Drone,1,799.50,North
2010,2025-04-01 10:10:15,110,Smartwatch,3,210.30,East
